SEASON_ID,GAME_ID,GAME_DATE,HOME_TEAM,PTS_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,AWAY_TEAM,PTS_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WINNING_TEAM
22009,0020900001,2009-10-27,CLE,89,241,29,70,0.414,6,17,0.353,25,32,0.781,6,26,32,17,7,9,13,22,-6.0,BOS,95,240,32,72,0.444,9,19,0.474,22,26,0.846,6,32,38,20,9,8,14,27,6.0,BOS
22009,0020900002,2009-10-27,DAL,91,241,30,76,0.395,4,18,0.222,27,34,0.794,11,31,42,16,6,9,9,20,-11.0,WAS,102,239,39,84,0.464,4,13,0.308,20,24,0.833,9,37,46,19,6,4,9,29,11.0,WAS
22009,0020900003,2009-10-27,POR,96,239,33,77,0.429,10,21,0.476,20,22,0.909,12,39,51,23,9,12,26,27,9.0,HOU,87,241,30,81,0.37,5,18,0.278,22,29,0.759,10,23,33,18,12,2,16,26,-9.0,POR
22009,0020900009,2009-10-28,MIA,115,240,47,83,0.566,7,15,0.467,14,17,0.824,7,36,43,21,6,3,16,20,22.0,NYK,93,240,33,87,0.379,10,39,0.256,17,21,0.81,12,27,39,19,8,3,13,17,-22.0,MIA
22009,0020900005,2009-10-28,ATL,120,240,46,87,0.529,7,12,0.583,21,29,0.724,8,27,35,30,16,6,10,25,11.0,IND,109,239,39,73,0.534,10,18,0.556,21,25,0.84,6,34,40,23,1,4,25,26,-11.0,ATL
22009,0020900014,2009-10-28,DEN,114,240,43,89,0.483,5,13,0.385,23,30,0.767,14,28,42,22,5,6,13,25,9.0,UTA,105,242,37,81,0.457,6,10,0.6,25,29,0.862,10,29,39,26,3,4,15,20,-9.0,DEN
22009,0020900006,2009-10-28,ORL,120,240,45,81,0.556,16,29,0.552,14,17,0.824,8,29,37,28,5,6,15,21,14.0,PHI,106,242,39,78,0.5,7,18,0.389,21,30,0.7,8,26,34,19,9,6,13,21,-14.0,ORL
22009,0020900010,2009-10-28,MEM,74,239,26,72,0.361,2,12,0.167,20,31,0.645,17,32,49,10,3,3,14,26,-22.0,DET,96,239,37,72,0.514,6,16,0.375,16,29,0.552,10,29,39,20,5,4,9,27,22.0,DET
22009,0020900012,2009-10-28,OKC,102,240,39,76,0.513,8,14,0.571,16,20,0.8,8,33,41,20,4,6,12,19,13.0,SAC,89,241,32,79,0.405,3,16,0.188,22,28,0.786,10,27,37,13,6,5,12,23,-13.0,OKC
22009,0020900015,2009-10-28,GSW,107,241,44,89,0.494,4,11,0.364,15,23,0.652,13,28,41,25,7,8,16,22,-1.0,HOU,108,242,40,86,0.465,12,26,0.462,16,20,0.8,13,28,41,30,14,7,18,22,1.0,HOU
